;N1;L1;N2;L2;a2;N3;L3;;;;Air blades;Air inlet;CH4;Temperature;S2;NH3;H2;O2;N2;CO2;H20;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Temperature (K);Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of Nitrogen Oxide Emission;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of CO;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of H2O
30;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,050739999999643;2229,3214847147106;3,5489999999996678;0,00022672887902102891;0,3458999999995154;0,1602924701368054;2,6236599999996244;0,1255475003720391
31;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,552479999999619;2092,6674196133463;3,9048999999996834;7,591158619821609e-05;1,128879999999553;0,138216815761974;2,4101199999996137;0,1275944532445163
32;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,4066399999996597;2106,0351223946222;3,762539999999677;4,136489500205247e-05;1,128879999999553;0,1323445332861859;2,694839999999626;0,1306919392433543
33;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,1930999999996503;2076,2962808161165;4,474339999999711;2,554203974619401e-05;1,3424199999995636;0,1274820965490058;2,9795599999996405;0,1323569705045867
34;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,9795599999996405;2153,648204760876;3,1930999999996503;0,0004228509672854063;5,186139999999744;0,0;5,186139999999744;0,0
35;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,62017999999967;2087,5630079608054;4,0472599999996905;5,269063485815367e-05;0,4882599999995225;0,1363225530355004;3,1219199999996468;0,1337184595238271
36;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,62017999999967;2018,129721373236;4,0472599999996905;1,9811244691862923e-05;0,9865199999995476;0,1280333002509423;3,264279999999653;0,1377852257380481
37;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;3,264279999999653;1947,5524617541407;3,976079999999686;6,903080313716991e-06;1,27123999999956;0,1143047558666561;2,908379999999636;0,1420178685901113
38;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,62017999999967;2225,6753584748694;4,0472599999996905;0,0002685020715830326;0,4882599999995225;0,1406474986983751;3,1219199999996468;0,1263398148433413
39;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;3,62017999999967;2141,415133090849;4,189619999999697;9,13943014616892e-05;0,4882599999995225;0,143196198782685;3,1930999999996503;0,1287609123207549
40;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;3,62017999999967;2097,0598112854414;4,189619999999697;4,871456824007908e-05;0,9153399999995422;0,1370093217090447;3,1219199999996468;0,1307497483086659
41;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;3,62017999999967;2066,597317918439;4,189619999999697;3,146203054918054e-05;1,0576999999995491;0,1335418397328357;3,1219199999996468;0,1321556740541223
42;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;3,5489999999996678;1994,6042869570213;3,9048999999996834;9,54046006272068e-06;1,3424199999995636;0,116726019184428;2,908379999999636;0,1357388405942274
43;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,5489999999996678;2227,414900814569;4,118439999999694;0,00023054927417099055;0,4882599999995225;0,1472436973828869;3,1219199999996468;0,1262640085529867
44;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;3,4066399999996597;2148,590008196718;4,189619999999697;8,525556493245937e-05;0,0611799999995028;0,1477935928049138;2,908379999999636;0,1288309640636242
45;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,264279999999653;2102,559292664125;4,118439999999694;4,448187772691912e-05;1,2000599999995565;0,1352869896389658;2,908379999999636;0,1311342732473096
46;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,264279999999653;2085,987101265299;4,0472599999996905;2,9419117885158843e-05;1,2000599999995565;0,1301669274797995;2,9795599999996405;0,132831435628916
47;24;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,33893999999961;2127,247081936206;2,908379999999636;0,0002324079227004097;10,595819999999998;0,0;10,595819999999998;0,0
48;24;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,4066399999996597;2068,300664700382;3,5489999999996678;4,886801219896195e-05;1,4135999999995654;0,1314616405153504;2,9795599999996405;0,1287526952273531
49;24;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;2,908379999999636;2001,9833102862967;3,3354599999996566;1,7953559156347542e-05;1,27123999999956;0,1172216805168532;2,694839999999626;0,1368839619632395
50;24;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;2,9795599999996405;1937,3376074429004;3,477819999999664;6,600838359925104e-06;1,4135999999995654;0,1130364663728607;2,694839999999626;0,1408803003045463
51;24;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;2,908379999999636;2226,5304720536483;3,3354599999996566;0,00021767684345649327;1,27123999999956;0,1378059991941282;0,7729799999995368;0,1228346929516927
52;24;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;3,050739999999643;2120,8293952317704;3,5489999999996678;7,273885189935235e-05;1,5559599999995726;0,1371887956645084;2,908379999999636;0,1274376545029099
53;24;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;3,050739999999643;2090,118681201132;3,62017999999967;4,330664040257057e-05;1,27123999999956;0,1300046346315319;2,694839999999626;0,1302727197490092
54;24;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;3,1219199999996468;2042,462028517384;3,5489999999996678;2,637743131772284e-05;1,5559599999995726;0,1260518765166089;2,8371999999996333;0,1297386320371343
55;24;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;2,8371999999996333;1967,827951646322;3,62017999999967;8,585441464575453e-06;1,3424199999995636;0,1170863369229574;2,6236599999996244;0,1344634276632083
56;24;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,1930999999996503;2198,802609929572;3,762539999999677;0,00017166161362692673;0,5594399999995261;0,1454743631160572;2,6236599999996244;0,1223020134662033
57;24;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;3,477819999999664;2112,874331707496;3,83371999999968;7,743041151019431e-05;1,4135999999995654;0,1314186948435295;2,33893999999961;0,1264408752414837
58;24;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,264279999999653;2102,894287969333;3,5489999999996678;4,116866202616952e-05;1,5559599999995726;0,1273980439027459;2,8371999999996333;0,1299276647163313
59;24;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;2,9795599999996405;2073,2850754901133;4,0472599999996905;2,435170035683599e-05;1,3424199999995636;0,1226454823163876;2,6236599999996244;0,1318707801568008
60;30;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,4812999999996155;2143,391786454422;2,6236599999996244;0,00035059474407639536;1,484779999999569;0,0;1,484779999999569;0,0
61;30;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;2,9795599999996405;2059,2674591971177;3,3354599999996566;4,083834569370746e-05;1,27123999999956;0,1211090057324845;2,6236599999996244;0,1314932334284045
62;30;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,1219199999996468;2005,0791939842093;3,3354599999996566;1,7440127018777067e-05;1,5559599999995726;0,1172542757649217;2,8371999999996333;0,1366405021799377
63;30;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;3,1219199999996468;1940,078654507143;3,83371999999968;7,036398760247992e-06;1,5559599999995726;0,1142435162417056;2,694839999999626;0,141294334864611
108;12;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;2,908379999999636;2145,3767884871777;3,1930999999996503;0,00025325537311480893;1,2000599999995565;0,0;1,2000599999995565;0,0
109;12;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;3,050739999999643;2160,3740710396314;3,6913599999996736;8,171701575892145e-05;1,2000599999995565;0,1330997855481304;2,552479999999619;0,1290108348660243
110;12;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,050739999999643;2116,265415073346;3,6913599999996736;4,242714969086031e-05;1,2000599999995565;0,129305886384382;2,552479999999619;0,1310998375860317
111;12;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,1219199999996468;2083,1344174391847;3,477819999999664;2,735606940285582e-05;1,2000599999995565;0,1279529685663371;2,6236599999996244;0,1323839220518243
112;9;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;3,1219199999996468;2148,800110527632;3,4066399999996597;0,0003582377625323676;9,38575999999994;0,0;9,38575999999994;0,0
113;9;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,62017999999967;2084,4071684436944;3,976079999999686;4,755192846175325e-05;0,9153399999995422;0,1254244129174431;3,264279999999653;0,1338638289601352
114;9;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,62017999999967;2013,611011741393;3,976079999999686;1,853847033085052e-05;0,7729799999995368;0,127755521162235;3,264279999999653;0,13775935251955
115;9;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;3,62017999999967;1943,8868913272051;3,976079999999686;6,607766036768972e-06;1,128879999999553;0,122471760492551;3,264279999999653;0,1418551377543324
116;9;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,477819999999664;2222,3939961383985;3,762539999999677;0,00023078497533963557;0,9865199999995476;0,125711112400752;3,1219199999996468;0,1265140242630253
117;9;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;3,62017999999967;2141,7898844293168;3,976079999999686;8,060129688555676e-05;0,9153399999995422;0,1284243612585152;3,264279999999653;0,1290348642430898
118;9;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;3,62017999999967;2093,3288923656182;4,118439999999694;4,364190863475015e-05;0,8441599999995386;0,1303082596310206;3,264279999999653;0,130921187415502
119;9;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;3,6913599999996736;2061,110224199127;4,118439999999694;2,875362225010158e-05;0,7729799999995368;0,131498889150268;3,264279999999653;0,1321233734800372
120;9;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;3,62017999999967;1982,645358426749;4,0472599999996905;8,978011968022764e-06;1,3424199999995636;0,1216586983073212;3,4066399999996597;0,1355614536346778
121;9;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,477819999999664;2225,685507823616;3,762539999999677;0,0002010251395243016;0,9153399999995422;0,1318894589120307;3,1219199999996468;0,1264080717338979
122;9;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;3,62017999999967;2148,337043937857;4,0472599999996905;7,251594966395245e-05;0,8441599999995386;0,1351831865814003;3,1930999999996503;0,1291108138432826
123;9;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,62017999999967;2103,022466506596;4,0472599999996905;4,002560016927356e-05;0,7729799999995368;0,1367993677144051;3,264279999999653;0,1311925501865873
124;9;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,62017999999967;2073,0302963546483;4,0472599999996905;2,6592080949014397e-05;0,7729799999995368;0,1368334344899349;3,264279999999653;0,1325616904071822
125;24;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,552479999999619;2151,752644364054;2,694839999999626;0,00027575231769477683;8,887499999999918;0,0;8,887499999999918;0,0
126;24;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;2,7660199999996298;2062,9014206219813;3,1219199999996468;3,696537442787177e-05;1,4135999999995654;0,1293014685237978;2,552479999999619;0,1322792467641548
127;24;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;2,7660199999996298;1999,525662451372;3,1930999999996503;1,304015648514981e-05;1,27123999999956;0,1238306037597418;2,552479999999619;0,1369311184259631
128;24;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;2,8371999999996333;1965,9397569570351;3,264279999999653;5,358882180450515e-06;1,27123999999956;0,1134997046477971;2,552479999999619;0,142448934572072
129;24;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;2,8371999999996333;2191,9397293083634;3,1219199999996468;0,00016035876892651823;1,27123999999956;0,1406957265677681;2,4101199999996137;0,1242925512281306
130;24;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;2,8371999999996333;2125,626032179892;2,9795599999996405;5,580485711295101e-05;1,27123999999956;0,1352637809814454;2,6236599999996244;0,1276509466015406
131;24;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;2,8371999999996333;2079,177767335433;3,050739999999643;3,152723994930394e-05;1,3424199999995636;0,1232818040008432;2,4812999999996155;0,130060045760493
132;24;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;2,7660199999996298;2049,371989604281;3,62017999999967;2,2451470692149468e-05;1,3424199999995636;0,1234969742547315;2,4101199999996137;0,1310687683259302
133;24;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;2,908379999999636;2001,885716937024;3,3354599999996566;7,842831931840465e-06;1,3424199999995636;0,1144394353012377;2,6236599999996244;0,1357598095178263
134;24;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;2,694839999999626;2184,490765274655;2,908379999999636;0,00012176357390072847;1,27123999999956;0,1430392252389401;2,552479999999619;0,1244786994390416
135;24;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,9795599999996405;2136,192187116682;3,050739999999643;5,75779955231921e-05;1,4135999999995654;0,1293148803597349;2,4812999999996155;0,1275572917434626
136;24;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;2,908379999999636;2083,7514590482256;3,5489999999996678;3,106972930304028e-05;1,5559599999995726;0,1262180560625816;2,552479999999619;0,1297418648168597
137;24;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;2,8371999999996333;2093,7848154903936;3,4066399999996597;2,293751400963084e-05;1,27123999999956;0,1239587940615914;2,4101199999996137;0,1326914552387806
138;30;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,4812999999996155;2119,18755405428;2,7660199999996298;0,00023289551082673657;9,314579999999935;0,0;9,314579999999935;0,0
139;30;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;2,694839999999626;2053,022705906009;2,9795599999996405;3,3277606953819385e-05;1,3424199999995636;0,1267840424784207;2,552479999999619;0,1319042955095751
140;30;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;477;0;0;0;0,20128;0,75199;0,01504;0,03169;2,694839999999626;2032,4231633462853;3,1219199999996468;1,4960732157970318e-05;1,2000599999995565;0,1208394197076482;2,33893999999961;0,1379014000800791
141;30;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;478;0;0;0;0,1912;0,74649;0,02006;0,04225;2,7660199999996298;1964,33602656678;3,1930999999996503;5,24267766618207e-06;1,27123999999956;0,1119055545916877;2,4812999999996155;0,1422695360091881
142;30;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;2,7660199999996298;2174,909259397432;2,908379999999636;0,00015010969903254994;1,4135999999995654;0,1434203415379432;2,4101199999996137;0,1227205173344988
143;30;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;2,694839999999626;2107,5706648626606;3,050739999999643;5,315071050795545e-05;1,484779999999569;0,13295419304217;2,552479999999619;0,1274293661156728
144;30;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;2,8371999999996333;2077,0646986190736;3,050739999999643;3,247256410834425e-05;1,3424199999995636;0,13033961516947;2,552479999999619;0,129120871488831
145;30;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;2,694839999999626;2079,620197973759;3,264279999999653;2,391080283469659e-05;1,27123999999956;0,1225795963677164;2,33893999999961;0,1321233848759721
146;30;105;12;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;2,8371999999996333;2002,619839067888;3,264279999999653;7,445274829284322e-06;1,27123999999956;0,1156385006026422;2,552479999999619;0,1358765822788796
147;30;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;2,6236599999996244;2185,512741472028;2,9795599999996405;0,00012877512192860225;1,3424199999995636;0,1421556040334209;2,4812999999996155;0,1241238715031828
148;30;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,694839999999626;2125,68730256796;3,1219199999996468;4,99734607513302e-05;1,5559599999995726;0,1308819427419252;2,4101199999996137;0,1275619285366034
149;30;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;2,694839999999626;2119,024022395634;3,1219199999996468;3,4174729954628354e-05;1,2000599999995565;0,1288724699463411;2,2677599999996065;0,1309352431412256
150;30;105;12;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;2,694839999999626;2091,1313379090066;3,264279999999653;2,2231323244025e-05;1,2000599999995565;0,1265687544324184;2,33893999999961;0,1324022616649799
151;36;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;471;0;0;0;0,233;0,767;0;0;2,6236599999996244;2103,3861246380147;2,8371999999996333;0,00021812931714501732;2,908379999999636;0,0;2,908379999999636;0,0
152;36;105;12;70;60;9;29,6;0;0;0;60,63;23,8;0,5556295473882786;475;0;0;0;0,211351;0,757495;0,010028;0,021127;2,8371999999996333;2044,9501783166609;3,050739999999643;3,521298804129653e-05;1,7694999999995833;0,1221084408206923;1,5559599999995726;0,1310703390043554
