;N1;L1;N2;L2;a2;N3;L3;;;;Air blades;Air inlet;CH4;Temperature;S2;NH3;H2;O2;N2;CO2;H20;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Temperature (K);Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of Nitrogen Oxide Emission;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of CO;Line Probe 8: Direction [-1,0,0] (m);Line Probe 8: Mass Fraction of H2O
29;12;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;3,264279999999653;1974,867895032256;3,5489999999996678;9,43645489572928e-06;1,3424199999995636;0,1127309458916044;3,477819999999664;0,118922829405298
30;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,050739999999643;2229,3214847147106;3,5489999999996678;0,00022672887902102891;0,3458999999995154;0,1602924701368054;3,5489999999996678;0,1192199101160554
31;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;2,552479999999619;2092,6674196133463;3,9048999999996834;7,591158619821609e-05;1,128879999999553;0,138216815761974;3,762539999999677;0,114417335464334
32;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,4066399999996597;2106,0351223946222;3,762539999999677;4,136489500205247e-05;1,128879999999553;0,1323445332861859;3,62017999999967;0,1179674765043235
33;12;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,1930999999996503;2076,2962808161165;4,474339999999711;2,554203974619401e-05;1,3424199999995636;0,1274820965490058;3,477819999999664;0,1136530738979297
34;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;471;0;0;0;0,233;0,767;0;0;2,9795599999996405;2153,648204760876;3,1930999999996503;0,0004228509672854063;0,8441599999995386;0,1142842989030787;3,1930999999996503;0,1221795085012498
35;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;475;0;0;0;0,211351;0,757495;0,010028;0,021127;3,62017999999967;2087,5630079608054;4,0472599999996905;5,269063485815367e-05;0,4882599999995225;0,1363225530355004;3,762539999999677;0,1175340016643254
36;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;477;0;0;0;0,20128;0,75199;0,01504;0,03169;3,62017999999967;2018,129721373236;4,0472599999996905;1,9811244691862923e-05;0,9865199999995476;0,1280333002509423;3,762539999999677;0,1181142263948904
37;9;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;478;0;0;0;0,1912;0,74649;0,02006;0,04225;3,264279999999653;1947,5524617541407;3,976079999999686;6,903080313716991e-06;1,27123999999956;0,1143047558666561;3,762539999999677;0,1206247460697982
38;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;477;0;0;0;0,233;0,767;0;0;3,62017999999967;2225,6753584748694;4,0472599999996905;0,0002685020715830326;0,4882599999995225;0,1406474986983751;3,976079999999686;0,1158217288176506
39;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;481;0;0;0;0,219523;0,764288;0,005211;0,010978;3,62017999999967;2141,415133090849;4,189619999999697;9,13943014616892e-05;0,4882599999995225;0,143196198782685;4,0472599999996905;0,1156372762741542
40;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;483;0;0;0;0,212338;0,761761;0,008337;0,017564;3,62017999999967;2097,0598112854414;4,189619999999697;4,871456824007908e-05;0,9153399999995422;0,1370093217090447;4,0472599999996905;0,1162741365845337
41;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;484;0;0;0;0,207547;0,760077;0,010421;0,021955;3,62017999999967;2066,597317918439;4,189619999999697;3,146203054918054e-05;1,0576999999995491;0,1335418397328357;4,0472599999996905;0,1160292909285989
42;9;105;24;70;60;9;29,6;0;0;0;77,01;30,23;0,7334;488;0;0;0;0,19557;0,755865;0,015632;0,032933;3,5489999999996678;1994,6042869570213;3,9048999999996834;9,54046006272068e-06;1,3424199999995636;0,116726019184428;3,6913599999996736;0,1179316590393732
43;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;483;0;0;0;0,233;0,767;0;0;3,5489999999996678;2227,414900814569;4,118439999999694;0,00023054927417099055;0,4882599999995225;0,1472436973828869;3,762539999999677;0,1162667806552846
44;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;488;0;0;0;0,220013;0,763956;0,00516;0,010871;3,4066399999996597;2148,590008196718;4,189619999999697;8,525556493245937e-05;0,0611799999995028;0,1477935928049138;4,0472599999996905;0,1168661521805616
45;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;491;0;0;0;0,213121;0,76123;0,008256;0,017394;3,264279999999653;2102,559292664125;4,118439999999694;4,448187772691912e-05;1,2000599999995565;0,1352869896389658;3,762539999999677;0,1179837192871638
46;9;105;24;70;60;9;29,6;0;0;0;89,89;35,29;0,8477;493;0;0;0;0,208526;0,759412;0,01032;0,021742;3,264279999999653;2085,987101265299;4,0472599999996905;2,9419117885158843e-05;1,2000599999995565;0,1301669274797995;3,762539999999677;0,1178642324015922
47;24;105;24;70;60;9;29,6;0;0;0;60,63;23,8;0,555629547388279;471;0;0;0;0,233;0,767;0;0;2,33893999999961;2127,247081936206;2,908379999999636;0,0002324079227004097;0,9153399999995422;0,1452024385193551;2,552479999999619;0,1179045305677125
